Driver,Team,Compound,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,Session
VER,Red Bull Racing,HARD,,,0 days 00:00:42.104000,0 days 00:00:26.743000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:01:16.802000,0 days 00:00:22.782000,0 days 00:00:30.530000,0 days 00:00:23.490000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:02:14.993000,0 days 00:00:50.693000,0 days 00:00:57.385000,0 days 00:00:26.915000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:01:15.805000,0 days 00:00:22.270000,0 days 00:00:30.384000,0 days 00:00:23.151000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:02:21.227000,0 days 00:00:44.629000,0 days 00:00:56.076000,0 days 00:00:40.522000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:02:12.418000,0 days 00:00:51.475000,0 days 00:00:48.210000,0 days 00:00:32.733000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:01:15.516000,0 days 00:00:22.126000,0 days 00:00:30.419000,0 days 00:00:22.971000,1,FP1
VER,Red Bull Racing,HARD,0 days 00:01:32.990000,0 days 00:00:26.448000,0 days 00:00:38.052000,0 days 00:00:28.490000,1,FP1
VER,Red Bull Racing,SOFT,,,0 days 00:00:45.992000,0 days 00:00:26.374000,1,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:14.085000,0 days 00:00:21.924000,0 days 00:00:29.685000,0 days 00:00:22.476000,1,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:45.656000,0 days 00:00:32.189000,0 days 00:00:39.319000,0 days 00:00:34.148000,1,FP1
VER,Red Bull Racing,SOFT,,,0 days 00:00:33.416000,0 days 00:00:26.619000,12,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:19.917000,0 days 00:00:23.922000,0 days 00:00:32.115000,0 days 00:00:23.880000,1,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:19.596000,0 days 00:00:23.793000,0 days 00:00:32.022000,0 days 00:00:23.781000,1,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:19.508000,0 days 00:00:23.719000,0 days 00:00:31.936000,0 days 00:00:23.853000,1,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:19.736000,0 days 00:00:23.414000,0 days 00:00:32.192000,0 days 00:00:24.130000,1,FP1
VER,Red Bull Racing,SOFT,,0 days 00:00:36.889000,0 days 00:01:06.555000,0 days 00:00:55.677000,1,FP1
VER,Red Bull Racing,SOFT,0 days 00:01:49.521000,0 days 00:00:48.356000,0 days 00:00:32.830000,0 days 00:00:28.335000,1,FP1
NOR,McLaren,HARD,,,0 days 00:00:37.185000,0 days 00:00:28.656000,1,FP1
NOR,McLaren,HARD,0 days 00:01:16.095000,0 days 00:00:22.567000,0 days 00:00:30.494000,0 days 00:00:23.034000,1,FP1
NOR,McLaren,HARD,0 days 00:01:59.624000,0 days 00:00:29.696000,0 days 00:00:55.689000,0 days 00:00:34.239000,1,FP1
NOR,McLaren,HARD,0 days 00:01:15.633000,0 days 00:00:22.311000,0 days 00:00:30.244000,0 days 00:00:23.078000,1,FP1
NOR,McLaren,HARD,0 days 00:01:56.771000,0 days 00:00:26.210000,0 days 00:00:51.467000,0 days 00:00:39.094000,1,FP1
NOR,McLaren,HARD,0 days 00:02:06.784000,0 days 00:00:40.900000,0 days 00:00:51.691000,0 days 00:00:34.193000,1,FP1
NOR,McLaren,HARD,0 days 00:01:15.259000,0 days 00:00:22.120000,0 days 00:00:30.198000,0 days 00:00:22.941000,1,FP1
